,번호,장소명,구
0,1.0,강남 MICE 관광특구,강남구
1,2.0,동대문 관광특구,중구
2,3.0,명동 관광특구,중구
3,4.0,이태원 관광특구,용산구
4,5.0,잠실 관광특구,송파구
5,6.0,종로·청계 관광특구,종로구
6,7.0,홍대 관광특구,마포구
7,8.0,경복궁·서촌마을,종로구
8,9.0,광화문·덕수궁,종로구
9,10.0,창덕궁·종묘,종로구
10,11.0,가산디지털단지역,금천구
11,12.0,강남역,강남구
12,13.0,건대입구역,광진구
13,14.0,고속터미널역,서초구
14,15.0,교대역,서초구
15,16.0,구로디지털단지역,구로구
16,17.0,서울역,중구
17,18.0,선릉역,강남구
18,19.0,신도림역,구로구
19,20.0,신림역,관악구
20,21.0,신촌·이대역,마포구
21,22.0,역삼역,강남구
22,23.0,연신내역,은평구
23,24.0,용산역,용산구
24,25.0,왕십리역,성동구
25,26.0,DMC(디지털미디어시티),마포구
26,27.0,창동 신경제 중심지,노원구
27,28.0,노량진,동작구
28,29.0,낙산공원·이화마을,종로구
29,30.0,북촌한옥마을,종로구
30,31.0,가로수길,강남구
31,32.0,성수카페거리,성동구
32,33.0,수유리 먹자골목,강북구
33,34.0,쌍문동 맛집거리,도봉구
34,35.0,압구정로데오거리,강남구
35,36.0,여의도,영등포구
36,37.0,영등포 타임스퀘어,영등포구
37,38.0,인사동·익선동,종로구
38,39.0,국립중앙박물관·용산가족공원,용산구
39,40.0,남산공원,용산구
40,41.0,뚝섬한강공원,광진구
41,42.0,망원한강공원,마포구
42,43.0,반포한강공원,서초구
43,44.0,북서울꿈의숲,강북구
45,46.0,서울숲공원,성동구
46,47.0,월드컵공원,마포구
47,48.0,이촌한강공원,용산구
48,49.0,잠실종합운동장,송파구
49,50.0,잠실한강공원,송파구
